,surfaceArea,compactness,BBoxVolume,diameter,eccentricity
labeledDb\LabeledDB_new\Airplane\61.off,1.915367707806675,0.9100646036144566,0.700764390990962,1.9655930395984773,29.59052638812917
labeledDb\LabeledDB_new\Airplane\62.off,2.0696912986251923,0.6094141177993084,1.3857701841881107,1.9531221524786755,23.334838972502947
labeledDb\LabeledDB_new\Airplane\63.off,2.1616274551618164,0.6304403550898824,1.3619553700008462,1.994663196558449,22.769527464688213
labeledDb\LabeledDB_new\Airplane\64.off,2.2796276107723754,0.7077153890302844,1.3904676607442563,1.861235584711179,31.4126262301793
labeledDb\LabeledDB_new\Airplane\65.off,1.8603382173274319,0.6025203947068213,1.0582831866108602,1.7242407296506566,35.842151887040586
labeledDb\LabeledDB_new\Airplane\66.off,2.128028830863797,1.5944839568558618,0.8021998276931455,1.7049772830162693,61.890516466954466
labeledDb\LabeledDB_new\Airplane\67.off,2.477437099466306,0.8883792376930105,1.351757739542602,1.8133351120983012,33.09176844123738
labeledDb\LabeledDB_new\Airplane\68.off,1.7243807773701558,0.7008895540530472,0.9936486019441747,1.7751502637784249,33.1252637914539
labeledDb\LabeledDB_new\Airplane\69.off,2.2497670440764264,0.9224032612726301,1.018567266426791,1.8996630175190838,36.036993718395806
labeledDb\LabeledDB_new\Airplane\70.off,2.0302425298566797,0.6427841623070798,0.9948133614843078,1.9892534696283868,75.45020724948306
labeledDb\LabeledDB_new\Airplane\71.off,2.1776185195931124,0.6383273549462566,1.3905484258874146,1.9784586904303358,27.538581235700175
labeledDb\LabeledDB_new\Airplane\72.off,1.9216552690704776,0.6117781505605617,1.083659219417183,1.979170581343597,42.06249475029106
labeledDb\LabeledDB_new\Airplane\73.off,1.8486577815849656,0.5294469311158415,1.2217886126703654,1.9572330147933796,40.085538537404915
labeledDb\LabeledDB_new\Airplane\74.off,1.8496855665836873,0.782984660707501,1.0504667530501128,1.9581493094847715,40.05468402814838
labeledDb\LabeledDB_new\Airplane\75.off,2.595345323446526,1.4939567336134905,0.829978015803292,1.7583431275511767,34.6131499654601
labeledDb\LabeledDB_new\Airplane\76.off,1.9940273486111242,0.6322671800743175,1.229752933397435,1.8508279072180494,37.60032102593075
labeledDb\LabeledDB_new\Airplane\77.off,2.0536087594872203,0.612228202391967,1.4093180196277284,1.8118491175732647,35.95171508601231
labeledDb\LabeledDB_new\Airplane\78.off,2.406254074690181,0.49487775432467934,1.991263141085433,1.9030209369033761,38.13440100995496
labeledDb\LabeledDB_new\Airplane\79.off,2.407611887052445,0.5521976698095898,1.7489894663588235,1.9522222269983411,22.29938141236394
labeledDb\LabeledDB_new\Airplane\80.off,2.554367551852032,0.6655272202865927,1.6008958440686503,1.922655954913752,24.476737790926933
labeledDb\LabeledDB_new\Ant\100.off,2.366413220615778,0.3633145454817515,1.3622923731727656,1.7251555833690873,5.781866583499605
labeledDb\LabeledDB_new\Ant\81.off,2.1753601470501014,0.30824667268259803,1.1961848475378807,1.8382229168878677,8.669880066701198
labeledDb\LabeledDB_new\Ant\82.off,2.778507014538145,0.27175513641690746,1.9195667177258577,1.8488917528134188,7.068745748833226
labeledDb\LabeledDB_new\Ant\83.off,2.3287467103518162,0.3979548676504377,1.2626435398535492,1.9099718046336671,13.614360498887121
labeledDb\LabeledDB_new\Ant\84.off,2.215585276014107,0.2311353572876386,1.4378638371603722,1.7944004601948054,6.314398524422045
labeledDb\LabeledDB_new\Ant\85.off,2.689455745131179,0.6543380744877592,1.1656130915293816,1.8963938143335914,21.16550687662153
labeledDb\LabeledDB_new\Ant\86.off,2.44592358259443,0.5259245865963145,0.9777786816200467,1.8704414852783653,8.571987886667392
labeledDb\LabeledDB_new\Ant\87.off,2.663823592982229,0.2068848848161401,1.931740026601376,1.9079791605187417,9.375319430919882
labeledDb\LabeledDB_new\Ant\88.off,2.8473032051671834,0.21813882684315067,2.7944344948837534,1.861510544536948,7.055805896273954
labeledDb\LabeledDB_new\Ant\89.off,2.581576438000114,0.5125537834233169,1.1848492862838176,1.852446567766093,13.428024441262655
labeledDb\LabeledDB_new\Ant\90.off,2.697030496839458,0.3162886103308353,1.7051381364450815,1.8366656884469281,6.517120029153279
labeledDb\LabeledDB_new\Ant\91.off,2.86996493057367,0.2682994995129521,1.855826084357103,1.8221448612393452,6.9112056243678355
labeledDb\LabeledDB_new\Ant\92.off,2.1895450863424455,0.44766913510558326,1.0515469860689803,1.946821103593413,14.619718923995565
labeledDb\LabeledDB_new\Ant\93.off,2.8495987624302543,0.3878125996927788,2.0285014843779745,1.8964555015712727,11.223817270829013
labeledDb\LabeledDB_new\Ant\94.off,2.2768481760463386,0.4027127080594781,1.5990291767355218,1.8281657487274572,20.842242674700547
labeledDb\LabeledDB_new\Ant\95.off,2.445665083727492,0.5589549602647158,1.0128080786703093,1.881393298067636,21.429680168410073
labeledDb\LabeledDB_new\Ant\96.off,2.5912935095539873,0.7793832743217334,1.7236770908571337,1.8748324531087084,23.568840756080043
labeledDb\LabeledDB_new\Ant\97.off,2.510812250624304,0.8055207826232796,0.7141591149480029,1.8446480902871256,20.222017602297917
labeledDb\LabeledDB_new\Ant\98.off,2.3166809124199346,0.4166013748573508,1.2878251126100562,1.934170964091958,12.417158742571479
labeledDb\LabeledDB_new\Ant\99.off,2.217973129408568,0.26208000089259204,1.6900251488704692,1.8128002093457487,10.626147654455327
labeledDb\LabeledDB_new\Armadillo\281.off,3.0433605212355683,0.6321136413329681,1.8745131815174803,1.7153211903731174,3.9360565570392634
labeledDb\LabeledDB_new\Armadillo\282.off,3.289124930915426,0.7923691949405645,1.346294681941489,1.8248408551889783,5.711594428454029
labeledDb\LabeledDB_new\Armadillo\283.off,2.609718046875874,0.8419907282144045,1.557882436751708,1.9896561474769812,14.16045824079791
labeledDb\LabeledDB_new\Armadillo\284.off,3.4087152962891367,0.6852903311867141,2.3284277071303583,1.6577509413928908,2.7711348914523857
labeledDb\LabeledDB_new\Armadillo\285.off,3.8138347887786517,0.6777891970066463,2.2922254935376465,1.725435544793691,4.64260514891702
labeledDb\LabeledDB_new\Armadillo\286.off,4.577652173358797,0.7274032506375145,2.3292304576969975,1.6997228388340808,2.0803512324596802
labeledDb\LabeledDB_new\Armadillo\287.off,4.267060949849468,0.6524606401813898,2.825786461506423,1.8594117907108743,3.5314726967053574
labeledDb\LabeledDB_new\Armadillo\288.off,4.398618095031316,0.6011465929513304,3.0022393022953073,1.7579494411443264,1.9814899180696743
labeledDb\LabeledDB_new\Armadillo\289.off,3.631510117955802,0.36598726888744854,3.978633080860973,1.839606188266805,2.7083891490067966
labeledDb\LabeledDB_new\Armadillo\290.off,2.845738920193223,0.40860050241412954,1.8792510654385224,1.9415386123482934,4.626757482514584
labeledDb\LabeledDB_new\Armadillo\291.off,4.06204147804655,1.372675655560443,1.598192277053343,1.917101695211207,5.460120155347849
labeledDb\LabeledDB_new\Armadillo\292.off,3.0624989264750844,0.6096545501589365,1.9788945641746893,1.6662220931837122,4.329088469543269
labeledDb\LabeledDB_new\Armadillo\293.off,3.14946942843368,0.728681785009094,1.3634944169999677,1.8361274523815438,5.536840426855961
labeledDb\LabeledDB_new\Armadillo\294.off,2.3387833158605194,0.8107998284573379,1.1759225366509538,1.960498960498369,15.329863476375518
labeledDb\LabeledDB_new\Armadillo\295.off,2.6981093109354832,0.6738357924468152,1.7901408247105361,1.6158257002395116,4.941143073278748
labeledDb\LabeledDB_new\Armadillo\296.off,3.573307264813682,0.8656399732799754,1.7878063809221132,1.7771830553035404,7.675140270407718
labeledDb\LabeledDB_new\Armadillo\297.off,4.105541119048082,0.8165135615507815,2.0443193928842014,1.7399044921825637,2.5115007194497867
labeledDb\LabeledDB_new\Armadillo\298.off,4.024037758445584,0.5677829183361539,2.7364976833543846,1.8633445616889523,3.4590330263570905
labeledDb\LabeledDB_new\Armadillo\299.off,4.18399403594868,0.5569471729326527,3.0703559623630134,1.7744855746563546,2.1498819770019657
labeledDb\LabeledDB_new\Armadillo\300.off,3.371262802950667,0.3310366557919304,3.7134397941805406,1.82275807301623,2.468373376721067
labeledDb\LabeledDB_new\Bearing\341.off,1.7926201323730173,2.0798877588347935,0.3304999317946013,1.5627879785477023,15.016170402391653
labeledDb\LabeledDB_new\Bearing\342.off,2.750507765858264,2.079886176354095,0.6281438891861215,1.9358082447000378,15.016160973807589
labeledDb\LabeledDB_new\Bearing\343.off,2.5522997379671124,2.079886523332863,0.5614826140675852,1.8647548328840249,15.025742058171158
labeledDb\LabeledDB_new\Bearing\344.off,1.962305278727493,1.70089092992589,0.33667628379062314,1.298653600424556,6.334481199417176
labeledDb\LabeledDB_new\Bearing\345.off,1.959582697198938,1.6860903741907132,0.34351400639033497,1.2943798456860203,6.6324811652063955
labeledDb\LabeledDB_new\Bearing\346.off,1.9560098989342616,1.6730092558588114,0.34603109295582396,1.2937444523901815,6.410559094428697
labeledDb\LabeledDB_new\Bearing\347.off,4.270411230032487,1.7743270563446603,0.8479738924719136,1.922393289964148,8.37905547665318
labeledDb\LabeledDB_new\Bearing\348.off,0.4842427732276477,3.3319051281604795,0.024224694667581956,1.0131312121503906,26.593675400664896
labeledDb\LabeledDB_new\Bearing\349.off,1.467524185010188,3.3319180453006934,0.1278037355696569,1.7637101302453138,20.021556129080537
labeledDb\LabeledDB_new\Bearing\350.off,1.625176163408567,3.2782041918425704,0.1507036389853647,1.8634108808974112,32.26482205648382
labeledDb\LabeledDB_new\Bearing\351.off,2.6282443388743157,1.754580731148603,0.5050096190505755,1.8832681959364497,17.48315043586954
labeledDb\LabeledDB_new\Bearing\352.off,2.0759697166511115,1.8186733194067655,0.35123839755569414,1.6659565804235614,10.188100212395168
labeledDb\LabeledDB_new\Bearing\353.off,1.402993167955386,1.604446737935201,0.26689602450991334,1.830469449422071,31.88203648947047
labeledDb\LabeledDB_new\Bearing\354.off,0.9133524178859713,1.2969727958538428,0.14525782492481062,1.2471467619177625,16.80350816457853
labeledDb\LabeledDB_new\Bearing\355.off,1.621179972504907,4.170542214186653,0.12295951961984704,1.9989841167302835,41.39309997023895
labeledDb\LabeledDB_new\Bearing\356.off,1.6212510351351253,4.169438645133817,0.12298437049606098,1.9991147363453636,41.39301913040975
labeledDb\LabeledDB_new\Bearing\357.off,1.8076455578896489,11.028313124570383,0.068815962168611,1.992112709067823,150.63667453642242
labeledDb\LabeledDB_new\Bearing\358.off,2.4601354940728486,0.9225836821999881,1.1221648517126723,1.3403465883151966,2.5085846527142426
labeledDb\LabeledDB_new\Bearing\359.off,2.4758222419369496,0.9227771973826907,1.1327939827753974,1.3445719099592492,2.551886429609397
labeledDb\LabeledDB_new\Bearing\360.off,0.02401534704587683,3.010525781279562,0.00027445782498503485,0.1943958646502683,20.944450557076138
labeledDb\LabeledDB_new\Bird\241.off,1.3918080879116395,0.6031503136133384,0.7913517271718792,1.9879284240602413,32.69756674708533
labeledDb\LabeledDB_new\Bird\242.off,2.830909962498331,0.7970534194159083,1.8954918660534816,1.8179114726691994,5.028514115497965
labeledDb\LabeledDB_new\Bird\243.off,1.3908105481385993,1.4080783598299025,0.5747623246435682,1.9925540770022734,63.79463216062023
labeledDb\LabeledDB_new\Bird\244.off,1.7407587284487862,1.9577385154281124,0.5057319582340076,1.9680809833386026,56.016854635779175
labeledDb\LabeledDB_new\Bird\245.off,2.424967908102898,0.6829036443046115,1.7617175834579222,1.8153853402984674,5.18094104392134
labeledDb\LabeledDB_new\Bird\246.off,1.6312860199685641,1.0000670427808647,0.6888653249294742,1.9493353497319088,21.185696511838117
